timestamp_s,flexion,abduction,ext_rot,elbow
1933143.4212,0.00,1.41,2.84,13.73
1933143.4495,0.00,1.40,2.84,13.73
1933143.4812,0.00,1.40,2.84,13.73
1933143.5203,0.00,1.40,2.84,13.73
1933143.5458,0.00,1.40,2.84,13.73
1933143.5776,0.00,1.40,2.84,13.73
1933143.6100,0.00,1.40,2.84,13.73
1933143.6418,0.00,1.40,2.84,13.74
1933143.6738,0.00,1.40,2.84,13.74
1933143.7059,0.00,1.40,2.84,13.74
1933143.7378,0.00,1.41,2.84,13.74
1933143.7698,0.00,1.41,2.84,13.74
1933143.8018,0.00,1.42,2.85,13.74
1933143.8334,0.00,1.42,2.85,13.74
1933143.8657,0.00,1.42,2.85,13.74
1933143.8979,0.00,1.43,2.85,13.74
1933143.9298,0.00,1.43,2.85,13.74
1933143.9509,0.00,1.43,2.85,13.73
1933143.9937,0.00,1.44,2.85,13.72
1933144.0136,0.00,1.45,2.86,13.72
1933144.0510,0.00,1.45,2.86,13.71
1933144.0843,0.00,1.46,2.86,13.70
1933144.1109,0.00,1.47,2.86,13.69
1933144.1415,0.00,1.48,2.87,13.69
1933144.1834,0.00,1.48,2.86,13.69
1933144.2159,0.00,1.49,2.86,13.68
1933144.2475,0.00,1.49,2.86,13.68
1933144.2800,0.00,1.50,2.86,13.68
1933144.3120,0.00,1.50,2.86,13.68
1933144.3437,1.51,0.00,2.85,13.68
1933144.3757,1.51,0.00,2.85,13.68
1933144.4078,1.51,0.00,2.85,13.68
1933144.4330,1.51,0.00,2.85,13.68
1933144.4646,1.51,0.00,2.84,13.68
1933144.4961,1.51,0.00,2.84,13.68
1933144.5278,1.51,0.00,2.84,13.68
1933144.5599,1.51,0.00,2.84,13.68
1933144.5919,1.51,0.00,2.84,13.68
1933144.6241,1.51,0.00,2.84,13.69
1933144.6740,1.51,0.00,2.84,13.69
1933144.6970,1.59,0.00,2.79,13.69
1933144.7198,1.65,0.00,2.75,13.68
1933144.7477,1.70,0.00,2.72,13.68
1933144.7818,1.74,0.00,2.70,13.68
1933144.8247,1.55,0.00,2.34,13.73
1933144.8569,0.00,1.56,1.97,13.66
1933144.8887,0.00,1.57,1.65,13.61
1933144.9207,0.00,1.58,1.37,13.57
1933144.9523,0.00,1.37,1.02,13.63
1933144.9843,0.00,1.62,0.39,13.52
1933145.0174,0.00,1.84,-0.14,13.43
1933145.0475,0.00,1.81,-0.71,13.37
1933145.0796,0.00,2.17,-1.20,13.57
1933145.1116,0.00,2.51,-1.85,13.35
